project_ID,H2
17990,0
18014,1
18045,0
18149,0
18230,0
18237,0
19079,0
19349,0
19382,0
19839,0
19878,0
20687,0
20786,0
21442,0
21662,0
21959,4
22367,0
23162,5
23333,2
24421,0
24422,0
24754,0
24901,0
26641,4
26695,5
27074,0
27189,0
27369,0
27421,0
28000,0
28602,0
28920,0
28981,1
29004,6
29302,0
29780,5
29875,1
30036,1
30071,0
30139,1
30219,0
30650,0
30980,0
31263,0
31298,0
31367,0
31510,0
31559,0
31590,0
31736,0
31742,0
31754,0
31938,1
32102,0
32123,0
32246,0
32453,1
32670,1
32841,1
33097,0
33150,0
33159,0
33318,0
33326,1
33607,0
33830,0
33888,6
34024,6
34084,3
34134,1
34399,0
34413,1
34614,1
34654,6
34675,0
34821,4
34839,1
35022,1
35059,1
35070,0
35163,2
35169,8
35180,4
35249,3
35252,0
35287,0
35311,0
35348,0
35403,0
35437,0
35451,1
35466,2
35470,1
35550,0
35755,7
35786,0
35830,0
35994,1
36085,3
36106,0
36216,3
36219,1
36267,0
36298,2
36448,0
36526,0
36553,0
36836,0
36977,0
37042,8
37197,0
37247,0
37325,0
37369,0
37439,0
37566,0
37601,8
37658,0
37660,3
37811,0
37972,5
38113,1
38160,0
38173,0
38758,13
39019,5
39137,0
39239,6
39590,1
39694,0
39721,0
39743,1
39785,1
39852,1
39906,5
39907,0
39928,0
39950,1
39960,0
40018,1
40105,1
40123,6
40208,8
40223,8
40353,8
40359,1
40366,8
40412,0
40418,0
40533,1
40767,0
40778,8
40991,1
41016,1
41028,1
41077,1
41186,1
41246,2
41291,1
41332,1
41336,1
41390,0
41454,1
41455,1
41527,0
41557,1
41567,0
41657,1
41677,6
42702,1
42721,1
42723,0
42763,1
42777,0
42867,0
42900,1
42924,1
42930,1
43097,1
43187,1
43332,1
43348,1
43368,1
43474,1
43543,1
43546,1
43638,4
43639,3
43646,1
43712,0
43959,0
44045,0
44106,0
44114,0
44348,2
44435,6
44448,2
44474,0
44543,0
44700,0
44738,0
44740,3
44749,1
44984,6
45089,0
45103,1
45231,0
45232,0
45271,1
45307,6
45500,0
45640,1
45645,0
45718,0
45911,0
45917,2
45932,5
45948,0
46029,0
46036,0
46062,0
46168,0
46422,0
46613,0
46740,0
46859,0
46948,0
46962,1
46980,0
47005,13
47325,0
47330,0
47355,3
47652,8
47680,0
47688,8
47806,4
47948,0
48006,0
48102,3
48346,0
48587,0
48679,0
48839,0
48852,0
48893,6
49023,6
49181,0
49369,3
49603,0
49724,0
49739,0
49772,0
49810,1
49951,0
50321,5
50440,0
50443,5
50493,4
50579,6
50672,6
50725,0
50820,0
50868,1
51037,0
51061,6
51110,0
51176,0
51225,0
51226,0
51238,0
51314,14
51443,0
51491,1
51535,8
51543,8
51670,0
51681,6
51777,0
51850,0
51949,0
51998,1
52206,4
52290,0
52414,0
52551,5
52647,5
52741,1
52910,1
52960,0
53102,0
53209,0
53215,0
53217,0
53445,0
53548,1
53565,6
53570,2
53732,0
53816,0
53823,0
53870,3
53873,0
53998,0
54002,8
54275,0
54439,0
54484,0
54801,0
55351,0
55526,1
55546,0
55560,0
55595,0
55660,0
55689,0
55847,0
55882,0
55885,1
55917,4
55926,0
55941,0
55966,0
56015,0
56137,0
56246,0
56356,0
56381,0
56416,0
56430,0
56533,0
56555,0
56785,0
56890,1
56903,0
57112,0
57202,0
57411,0
57480,6
57501,0
57560,5
57571,6
57652,0
57661,0
57666,0
57682,0
57728,0
57737,0
57809,0
57886,0
57937,1
58045,0
58089,0
58140,18
58182,0
58285,0
58318,0
58378,0
58657,0
58878,0
58886,0
59238,13
59276,0
59302,13
59416,0
59444,3
59469,3
59613,0
59669,2
59778,0
60018,0
60087,3
60101,0
60112,0
60141,1
60219,0
60330,0
60402,0
60409,0
60428,2
60490,0
60527,0
60535,0
60594,0
60671,0
60785,0
60863,0
60934,6
61000,0
61028,0
61090,0
61092,0
61114,0
61163,0
61186,11
61190,6
61217,0
61220,0
61222,0
61262,10
61277,0
61391,6
61432,0
61493,0
61541,7
61597,0
61689,0
61691,0
61732,6
61758,1
61789,6
61862,0
61868,0
61873,1
61947,0
61985,0
62054,3
62067,0
62150,0
62161,0
62199,6
62220,6
62250,0
62272,8
62279,0
62300,3
62358,6
62382,6
62385,0
62387,0
62398,0
62424,0
62431,0
62432,0
62507,0
62528,0
62587,0
62598,1
62690,0
62730,0
62745,0
62794,0
62860,56
62868,0
62890,10
62906,0
62969,0
62996,0
62999,0
63038,0
63103,1
63146,6
63172,1
63205,0
63226,0
63251,0
63294,6
63315,2
63363,0
63398,2
63468,0
63481,0
63505,0
63510,0
63522,0
63525,0
63549,0
63567,0
63591,2
63639,0
63671,13
63729,20
63746,0
63751,0
63779,0
63903,6
63930,0
63932,0
63938,6
63961,2
63980,0
64027,2
64083,0
64087,0
64181,0
64198,0
64199,3
64247,0
64358,0
64451,0
64506,0
64535,0
64566,1
64590,0
64599,0
64612,0
64696,3
64703,0
64771,3
64828,1
64839,0
64889,0
64909,0
64943,5
64961,3
65008,1
65017,0
65060,2
65229,0
65231,2
65348,0
65357,0
65376,1
65395,1
65399,1
65453,3
65464,6
65502,13
65628,0
65668,0
65725,3
65832,1
65900,1
65930,6
65963,0
66029,0
66108,0
66383,0
66419,0
66445,0
66537,3
66676,10
66702,0
66722,0
66752,3
66819,6
66828,0
66940,0
66993,0
67061,0
67066,0
67073,0
67148,0
67315,1
67337,0
67399,0
67421,0
67439,0
67673,0
67678,6
67789,0
67830,1
68049,0
68115,1
68129,0
68142,0
68156,1
68167,0
68231,0
68362,0
68416,0
68460,2
68523,0
68632,0
68634,0
68664,0
68719,0
68826,0
69227,5
69318,0
69418,0
69443,0
69522,1
69542,0
69600,0
69611,0
69725,6
69782,0
69804,2
69812,0
69872,0
69896,0
70056,3
70092,0
70217,3
70293,0
70308,0
70428,1
70593,0
70607,0
70713,0
70758,10
70955,2
71011,10
71027,6
71041,5
71058,0
71285,1
71375,1
71492,0
71500,2
71535,2
71550,2
71625,0
71633,0
71640,0
71711,2
71778,1
71830,0
71865,5
71950,4
71977,0
72054,0
72146,0
72152,5
72290,0
72324,0
72382,0
72415,0
72521,0
72555,0
72573,8
72883,4
72946,5
72986,5
73045,0
73056,0
73143,0
73207,10
73287,0
73358,0
73470,2
73535,7
73751,0
73798,0
73931,0
73992,0
73997,0
74042,1
74156,0
74173,0
74465,0
74571,1
74645,0
74714,0
74721,0
74804,0
74858,3
75187,0
75195,1
75203,0
75287,0
75452,1
75485,0
75813,0
75877,0
75932,0
75933,0
75998,1
76090,0
76108,4
76167,8
76235,1
76315,0
76319,0
76342,0
76522,0
76614,2
76656,1
76703,1
76796,0
76853,0
76930,0
77121,0
77135,4
77209,2
77214,5
77220,4
77289,8
77320,3
77321,2
77442,0
77678,0
77764,0
77803,0
77808,0
77909,2
77911,0
77947,3
77978,0
77994,0
78000,0
78039,0
78054,0
78069,0
78150,0
78246,0
78310,0
78313,0
78323,0
78350,2
78419,0
78451,0
78453,0
78454,0
78456,0
78457,0
78461,0
78582,0
78596,0
78600,0
78605,0
78615,3
78723,0
78757,0
78801,0
78821,0
78856,0
78876,0
78881,0
78882,0
78894,2
78896,0
78897,1
78939,0
78948,0
78949,0
79004,0
79082,0
79088,0
79120,2
79165,0
79217,0
79280,2
79298,0
79358,0
79373,0
79393,3
79451,2
79464,8
79519,4
79550,4
79553,1
79586,0
79669,0
79671,0
79717,0
79740,0
79782,3
79889,0
79898,0
79910,0
79928,0
79931,0
80048,0
80080,0
80085,0
80124,0
80195,1
80306,0
80380,3
80443,1
80452,0
80528,0
80788,0
80799,3
80899,0
80902,0
80947,0
80956,6
81026,0
81038,1
81045,6
81075,6
81095,3
81101,0
81149,1
81225,26
81241,0
81306,0
81312,1
81338,1
81369,1
81406,1
81500,0
81775,0
81819,8
81821,1
81827,13
81844,0
81883,1
81918,3
81943,0
82001,3
82012,0
82033,0
82039,5
82086,0
82091,1
82094,1
82098,0
82147,3
82188,4
82271,0
82294,0
82458,0
82491,1
82641,0
82701,6
82742,0
82754,0
82806,1
82827,0
82836,0
82839,7
83854,0
83967,1
83971,0
84016,0
84026,3
84082,0
84123,0
84388,2
84437,5
84442,2
84474,0
84506,0
84533,1
84599,1
84610,0
84654,0
84656,5
84694,0
84711,1
84834,1
84887,0
84933,0
84961,0
84966,0
85145,1
85207,0
85219,1
85270,5
85327,0
85450,3
85457,6
85485,1
85570,0
85595,3
85630,2
85666,6
85686,1
85723,1
85728,0
85729,1
85759,0
85812,0
85832,1
85847,1
85849,1
85913,0
85950,0
85994,3
86012,0
86021,0
86042,5
86123,0
86142,1
86183,1
86186,1
86207,0
86208,0
86210,0
86216,1
86221,8
86224,8
86228,5
86249,1
86252,1
86264,4
86284,2
86293,1
86307,8
86315,5
86322,3
86326,0
86334,4
86335,5
86340,1
86352,1
86372,1
86426,6
86443,2
86455,0
86462,0
86469,6
86470,6
86501,3
86503,0
86504,0
86566,7
86569,1
86582,1
86622,1
86718,0
86749,0
86762,0
86805,0
86840,2
86851,5
86877,1
86901,5
86962,0
87032,1
87087,5
87096,1
87112,0
87116,5
87150,0
87157,0
87176,0
87185,3
87191,0
87203,5
87253,1
87276,0
87277,1
87284,5
87287,0
87300,2
87328,0
87334,0
87337,5
87344,1
87350,1
87372,0
87392,0
87394,0
87403,4
87407,3
87441,5
87462,6
87482,2
87485,2
87491,1
87528,1
87586,0
87590,3
87591,1
87632,1
87634,1
87651,1
87664,1
87696,0
87721,6
87763,0
87802,3
87844,9
87879,0
87885,12
87896,1
87937,0
87942,1
87955,0
87962,5
87980,0
87986,0
88034,0
88062,0
88105,0
88136,2
88177,0
88211,6
88229,4
88256,0
88295,0
88310,0
88313,0
88327,0
88351,6
88387,4
88390,1
88396,3
88404,1
88409,0
88417,0
88454,1
88461,3
88462,3
88477,11
88478,1
88483,2
88548,0
88554,5
88598,0
88618,0
88620,1
88637,3
88664,3
88716,10
88721,0
88733,1
88746,0
88758,0
88772,0
88773,9
88835,8
88863,1
88874,3
88900,3
88903,1
88927,0
88931,2
88937,1
88956,0
89014,0
89026,3
89056,1
89077,2
89141,1
89142,1
89146,1
89183,0
89261,0
89410,2
89433,0
89434,0
89500,1
89518,0
89539,0
89554,1
89586,0
89618,0
89627,2
89666,2
89675,6
89676,1
89733,0
89739,0
89757,1
89800,0
89848,0
89867,8
89873,0
89881,0
89892,0
89903,0
89942,0
89946,0
89949,1
89995,0
89998,0
90052,0
90055,0
90077,6
90083,0
90085,0
90148,1
90238,0
90266,0
90312,7
90393,0
90394,0
90416,0
90429,1
90452,0
90483,0
90504,0
90505,4
90528,1
90549,0
90572,0
90577,0
90594,2
90628,0
90677,0
90721,0
90729,0
90742,2
90773,0
90844,0
90877,1
90908,2
90927,0
90938,3
90965,1
90982,5
91019,0
91046,0
91067,0
91100,1
91104,0
91136,5
91172,2
91225,0
91239,40
91249,5
91255,2
91267,0
91278,0
91319,1
91334,0
91352,2
91356,1
91373,0
91379,0
91440,0
91479,0
91483,0
91495,1
91560,5
91577,0
91602,0
91609,3
91617,1
91647,0
91648,6
91659,0
91677,0
91687,0
91701,0
91725,1
91737,1
91750,0
91752,0
91777,5
91854,1
91888,1
91890,7
91902,0
91910,0
91920,0
91963,1
91966,6
91970,8
91993,0
92029,0
92051,3
92071,0
92082,0
92147,12
92157,0
92218,0
92227,1
92235,0
92284,3
92292,0
92321,3
92324,3
92341,0
92343,5
92408,4
92427,0
92428,0
92433,5
92453,5
92454,0
92482,0
92526,1
92532,0
92535,0
92539,0
92559,0
92572,12
92603,0
92607,0
92616,3
92652,0
92660,0
92661,1
92662,0
92681,3
92687,0
92689,3
92694,1
92695,0
92774,0
92813,0
92825,0
92832,3
92848,3
92849,12
92853,0
92869,0
92880,0
92895,0
92902,6
92966,6
92988,0
92989,0
92998,0
93037,6
93038,0
93043,3
93146,0
93190,0
93210,0
93227,0
93243,0
93261,5
93262,10
93280,0
93298,0
93302,1
93311,1
93355,2
93363,0
93433,0
93447,0
93448,0
93471,15
93477,0
93489,0
93508,9
93651,0
93704,0
93731,0
93826,3
93857,5
93931,0
93943,3
94010,0
94019,0
94036,3
94128,7
94137,5
94174,4
94186,2
94189,0
94190,0
94208,0
94223,5
94287,1
94296,8
94309,1
94320,3
94331,0
94335,3
94338,1
94342,2
94344,18
94355,6
94434,5
94491,0
94495,4
94504,0
94512,0
94525,0
94527,0
94675,0
94686,0
94698,8
94771,1
94772,2
94809,0
94831,1
94967,4
95011,0
95029,6
95046,6
95049,8
95056,1
95064,0
95081,0
95088,0
95103,0
95175,0
95212,0
95233,0
95249,0
95284,9
95291,0
95304,0
95316,0
95359,0
95428,0
95433,5
95438,0
95470,0
95482,0
95499,3
95508,0
95513,0
95524,0
